question|answer|source
ELSS lock-in period|ELSS schemes have a mandatory 3-year lock-in period from the date of investment.|https://www.sebi.gov.in/
Tax benefit ELSS|Investments in ELSS qualify for tax deduction under Section 80C up to ₹1.5 lakh.|https://www.incometaxindia.gov.in/
Exit load SBI Bluechip Fund|1% exit load if redeemed within 1 year, else nil.|https://www.sbimf.com/
Expense ratio SBI Bluechip Fund|Expense ratio varies but is typically around 1% for regular plans.|https://www.amfiindia.com/
Minimum SIP SBI Flexicap Fund|Minimum SIP amount is ₹1000 per month.|https://www.sbimf.com/
Minimum lump sum investment SBI Flexicap Fund|Minimum lump sum investment is ₹5000.|https://www.sbimf.com/
Benchmark SBI Flexicap Fund|The benchmark is BSE 500 TRI.|https://www.sbimf.com/
Riskometer SBI Bluechip Fund|Categorized as Moderately High risk as per SEBI riskometer.|https://www.amfiindia.com/
Exit load SBI Nifty Index Fund|0.20% if redeemed within 15 days, else nil.|https://www.sbimf.com/
Benchmark SBI Nifty Index Fund|The benchmark is Nifty 50 Index.|https://www.sbimf.com/
Expense ratio SBI Nifty Index Fund|Expense ratio is usually lower than actively managed funds.|https://www.amfiindia.com/
What is NAV|Net Asset Value (NAV) is the per-unit value of a mutual fund.|https://www.amfiindia.com/
How often NAV updated|NAV is updated daily after market close.|https://www.amfiindia.com/
Capital gains statement download|You can download capital gains statements via CAMS or AMC portals.|https://www.camsonline.com/
Account statement download|Download account statements via CAMS, KFintech, or AMC website.|https://www.camsonline.com/
What is SIP|Systematic Investment Plan allows investing fixed amounts regularly.|https://www.amfiindia.com/
What is SWP|Systematic Withdrawal Plan allows periodic withdrawals from mutual funds.|https://www.amfiindia.com/
What is STP|Systematic Transfer Plan allows transfer between schemes.|https://www.amfiindia.com/
Are mutual funds safe|Mutual funds are regulated by SEBI but market risks apply.|https://www.sebi.gov.in/
Who regulates mutual funds in India|SEBI regulates mutual funds in India.|https://www.sebi.gov.in/
KYC requirement mutual funds|KYC is mandatory before investing in mutual funds.|https://www.amfiindia.com/
How to complete KYC|KYC can be completed online via Aadhaar-based verification or offline.|https://www.amfiindia.com/
Dividend payout option|Dividend option provides periodic payouts from scheme profits.|https://www.amfiindia.com/
Growth option mutual funds|Growth option reinvests profits instead of paying dividends.|https://www.amfiindia.com/
Lock-in for tax saver funds|ELSS funds have a 3-year lock-in period.|https://www.sebi.gov.in/
How to redeem mutual funds|Redemption can be done via AMC website, app, or registrar.|https://www.amfiindia.com/
Time taken for redemption|Redemption usually takes 2–3 working days for equity funds.|https://www.amfiindia.com/
What is expense ratio|Expense ratio is the annual fee charged by mutual funds.|https://www.amfiindia.com/
Direct vs regular plans|Direct plans have lower expense ratios than regular plans.|https://www.amfiindia.com/
